"041a";"0001";"-1";"1";"Phone configuration";"bit map";"off"
"041a";"0001";"00";"0";"Menu: Time & date autoupdate";"on";"off"
"041a";"0001";"00";"6";"Menu: Other Info";"on";"off"
"041a";"0001";"00";"7";"Menu: Software ver, DSP ver, Language pack";"on";"off"
"041a";"0001";"01";"0";"Menu: PRL ver";"on";"off"
"041a";"0001";"01";"1";"Menu: Built-In Modem";"on";"off"
"041a";"0001";"01";"2";"Menu: TrueSync ready";"on";"off"
"041a";"0001";"01";"3";"Menu: WAP Browser Ready";"on";"off"
"041a";"0001";"02";"1";"Menu: Call barring, Transfer Call, My Networks List etc.";"off";"on"
"041a";"0001";"02";"7";"Menu: Info Services";"on";"off"
"041a";"0001";"03";"1";"Menu: Quick Notes";"on";"off"
"041a";"0001";"03";"2";"Menu: Drafts";"on";"off"
"041a";"0001";"03";"3";"Menu: Inbox";"on";"off"
"041a";"0001";"03";"5";"Menu: Outbox";"on";"off"
"041a";"0001";"06";"1";"Ringtone: Siren";"on";"off"
"041a";"0001";"08";"2";"Menu: Voice Recorder";"on";"off"
"041a";"0001";"08";"5";"Menu: Costs";"on";"off"
"041a";"0001";"09";"1";"Menu: Call Security";"on";"off"
"041a";"0001";"0A";"7";"Dims Backlight instead of shutting off";"on";"off"
"041a";"0001";"0B";"0";"Menu: ESN ver";"on";"off"
"041a";"0001";"0B";"2";"Menu: SMS Center";"on";"off"
"041a";"0001";"0C";"1";"Enables scroll missed calls when flip closed";"on";"off"
"041a";"0001";"0C";"6";"Menu: Services";"on";"off"
"041a";"0001";"0D";"7";"Menu: Bluetooth";"on";"off"
"041a";"0001";"14";"0";"Menu: My Caller ID - All Calls";"on";"off"
"041a";"0001";"14";"2";"Menu: Quick Dial (calling)";"on";"off"
"041a";"0001";"14";"3";"Custom names for Quick Dial";"on";"off"
"041a";"0001";"16";"6";"Enables Loud Detail > Roam Calls ";"on";"off" 
"041a";"0001";"18";"5";"Menu: Browser Setup";"on";"off"
"041a";"0001";"19";"3";"Menu: Confirmation (Browser Setup)";"on";"off"
"041a";"0001";"19";"4";"Menu: Cache Start-Up (Browser Setup)";"on";"off"
"041a";"0001";"1B";"3";"Menu: Incoming Call (MediaCenter)";"on";"off"
"041a";"0001";"1B";"6";"PIN Autoenter";"on";"off"
"041a";"0001";"1B";"7";"Menu: 1-touch Dial";"on";"off"
"041a";"0001";"1C";"0";"Menu: Preferred SIM Card";"on";"off"
"041a";"0001";"1C";"5";"Enables sms reply type ";"on";"off" 
"041a";"0001";"1C";"6";"Menu: Connection (Settings)";"on";"off"
"041a";"0001";"1C";"7";"Menu: My Caller ID";"on";"off"
"041a";"0001";"1D";"3";"Motorola Animation on Startup";"on";"off"
"041a";"0001";"1D";"7";"Speakerphone Control ";"on";"off" 
"041a";"0001";"1E";"3";"Menu: Animation";"on";"off"
"041a";"0001";"1E";"6";"Menu: Expire After (Messages)";"on";"off"
"041a";"0001";"1F";"0";"Menu: Call Waiting (In-Call)";"on";"off"
"041a";"0001";"1F";"4";"Dual Lines, Menu: Active Line";"on";"off"
"041a";"0001";"1F";"5";"Menu: Call Barring (Security)";"on";"off"
"041a";"0001";"20";"6";"Menu: Call Cost config";"5";"2"
"041a";"0001";"22";"6";"Vibro Rings Number";"5";"2"
"041a";"0001";"23";"2";"Menu: Transfer Call";"on";"off"
"041a";"0001";"23";"4";"Enable Roam Alert";"on";"off"
"041a";"0001";"23";"5";"Menu: Call Security (In-Call)";"on";"off"
"041a";"0001";"24";"2";"Voice Mail on #1";"on";"off"
"041a";"0001";"29";"1";"Enables Keypad Lock (Clear-*)";"on";"off"
"041a";"0001";"2B";"0";"Menu 00**TESTMODE*";"on";"off"
"041a";"0001";"2B";"1";"Menu 00**TESTOFF*";"on";"off"
"041a";"0001";"2C";"4";"Menu: Roaming";"on";"off"
"041a";"0001";"2F";"1";"Menu: WebBrowser Setup";"on";"off"
"041a";"0001";"30";"5";"Menu: Quick Dial (edit)";"on";"off"
"041a";"0001";"30";"6";"Menu: Greeting (2)";"on";"off"
"041a";"0001";"30";"7";"Menu: Greeting (1)";"on";"off"
"041a";"0001";"31";"1";"Motorola Animation on Shutdown";"on";"off"
"041a";"0001";"33";"6";"Menu: Backlight (advanced/normal)";"adv";"norm"
"041a";"0001";"34";"6";"Menu: PRI Checksum (Phone Status)";"on";"off"
"041a";"0001";"37";"2";"Menu: Initial Setup: Status Light";"on";"off"
"041a";"0001";"38";"1";"Ringtone: Continental";"on";"off"
"041a";"0001";"38";"2";"Ringtone: Classic";"on";"off"
"041a";"0001";"38";"3";"Ringtone: Attention";"on";"off"
"041a";"0001";"39";"1";"Ringtone: Up-Down";"on";"off"
"041a";"0001";"39";"2";"Ringtone: Jitters";"on";"off"
"041a";"0001";"39";"3";"Ringtone: Upbeat";"on";"off"
"041a";"0001";"39";"4";"Ringtone: Espresso";"on";"off"
"041a";"0001";"39";"5";"Ringtone: Expose";"on";"off"
"041a";"0001";"39";"6";"Ringtone: Flare";"on";"off"
"041a";"0001";"39";"7";"Ringtone: Glacier";"on";"off"
"041a";"0001";"3A";"0";"Ringtone: Guitar Strings";"on";"off"
"041a";"0001";"3A";"1";"Ringtone: High Impact";"on";"off"
"041a";"0001";"3A";"2";"Ringtone: High Tide";"on";"off"
"041a";"0001";"3A";"3";"Ringtone: Higher Plane";"on";"off"
"041a";"0001";"3A";"4";"Ringtone: Jubilation";"on";"off"
"041a";"0001";"3A";"5";"Ringtone: Kaleidoscopic";"on";"off"
"041a";"0001";"3A";"6";"Ringtone: Luna";"on";"off"
"041a";"0001";"3A";"7";"Ringtone: Mania";"on";"off"
"041a";"0001";"3B";"0";"Ringtone: Moonlit-Haze";"on";"off"
"041a";"0001";"3B";"1";"Ringtone: Night Life";"on";"off"
